src_subject_id,FA_cingulatecingulum_R,FA_CinguluteCingulum_L,FA_corpuscallosum,FA_Corticospinal_L,FA_Corticospinal_R,FA_forecepsmajor,FA_forecepsminor,FA_Fornix_L,FA_Fornix_R,FA_IFC_SupFrontal_L,FA_IFC_SupFrontal_R,FA_inferiorfrontooccipitalfasiculus_L,FA_inferiorfrontooccipitalfasiculus_R,FA_inferiorlongfascic_L,FA_inferiorlongfascic_R,FA_ParahippocampalCingulum_L,FA_ParahippocampalCingulum_R,FA_parietalSLF_L,FA_parietalSLF_R,FA_temporalSLF_L,FA_temporalSLF_R,FA_striatal_IFC_L,FA_striatal_IFC_R,FA_superiorcorticalstriate_Frontal_L,FA_superiorcorticalstriate_Frontal_R,FA_superiorcorticalstriate_Parietal_L,FA_superiorcorticalstriate_Parietal_R,FA_ThalamicRadiations_R,FA_thalamicradiations_L,FA_uncinate_L,FA_uncinate_R
NDAR_INVVB04BHVZ,0.46338054,0.5311633,0.59584261,0.62738233,0.64351579,0.67982959,0.5231901,0.40829232,0.4068707,0.47211285,0.47368579,0.51565506,0.50673564,0.52998615,0.54296615,0.38448414,0.39285332,0.49597218,0.47610746,0.53454336,0.49558582,0.40220883,0.38460213,0.45780739,0.5021417,0.51204536,0.52869782,0.3943162,0.41861031,0.46016876,0.45317909
NDAR_INVVB0K1CTL,0.37872162,0.44038074,0.54092183,0.56636677,0.56044814,0.60087304,0.48206902,0.2831354,0.31615863,0.40964079,0.39807753,0.46190782,0.45002822,0.45305205,0.43907384,0.22761395,0.25775182,0.46152754,0.4811865,0.52762581,0.49651145,0.37673294,0.36787824,0.43524201,0.46398338,0.42018343,0.45968178,0.35085737,0.38185874,0.39032429,0.36449272
NDAR_INVVBH246B9,0.47664422,0.49730648,0.60047121,0.62257863,0.61992018,0.66983845,0.55694781,0.40859232,0.43331334,0.48666096,0.4608953,0.52339582,0.50978579,0.5202448,0.51576319,0.3876665,0.40916279,0.51137069,0.53202371,0.546849,0.54496833,0.46361928,0.43217682,0.47874799,0.48670692,0.52474563,0.54108225,0.39455502,0.41491503,0.48816594,0.46126845
NDAR_INVVBL6F58A,0.32458035,0.35549465,0.49294123,0.57727945,0.56841501,0.56781351,0.42704343,0.32527634,0.34076517,0.38317029,0.39940887,0.3513331,0.36828158,0.36601843,0.35180508,0.32881325,0.32404462,0.3842385,0.39786517,0.4055903,0.40847025,0.31548276,0.32244872,0.42623825,0.47047259,0.45826231,0.51126546,0.30392841,0.31064237,0.31884359,0.31343089
NDAR_INVVBM9M2WA,0.49056598,0.54795321,0.592112,0.59842069,0.59897499,0.63489614,0.54634449,0.37033306,0.39852762,0.45694116,0.4547376,0.53030397,0.51233312,0.47762407,0.48742677,0.41023631,0.39629425,0.47725978,0.49978845,0.51761648,0.50486555,0.43604752,0.39697216,0.43477619,0.44927064,0.44430412,0.4828389,0.40811854,0.44793664,0.4895158,0.4703521
NDAR_INVVBNV0506,0.51668544,0.55045741,0.63112219,0.67197735,0.66292383,0.66768321,0.58846243,0.37269212,0.36944732,0.50030933,0.49956703,0.52485099,0.52199152,0.51014933,0.51881337,0.3482378,0.39799969,0.5354268,0.52384719,0.56872796,0.54583512,0.44558183,0.42568506,0.50472043,0.51805411,0.5453907,0.56330481,0.40372842,0.42975132,0.46434956,0.46589828
NDAR_INVVBYJ19B5,0.51070152,0.50053411,0.58774574,0.60795901,0.60524065,0.63297323,0.55320999,0.3804257,0.37442042,0.48681782,0.44626622,0.50643808,0.51257443,0.48991964,0.48099738,0.37330593,0.39745255,0.45885555,0.45082545,0.49955383,0.47542343,0.41954573,0.41178354,0.46153879,0.44454092,0.47410099,0.47715113,0.43320329,0.4254672,0.44424835,0.41787403
NDAR_INVVC1FVHRL,0.4562991,0.51335359,0.58211454,0.61768786,0.59675005,0.59130537,0.55442282,0.37901242,0.37752642,0.46074693,0.46627728,0.52763391,0.49390415,0.524818,0.5004531,0.3173689,0.40462978,0.49020228,0.48039897,0.50855789,0.48970831,0.42283152,0.39352571,0.47916877,0.47944432,0.51063594,0.51995616,0.40190249,0.41172878,0.47699815,0.43388218
NDAR_INVVC2R39EB,0.50493999,0.50909971,0.60065585,0.60790003,0.62421164,0.66444167,0.54100132,0.37477909,0.35406235,0.47509487,0.4808906,0.50056947,0.50621228,0.5215757,0.49549044,0.37886696,0.39036291,0.49029154,0.49958031,0.53209904,0.49666139,0.44032118,0.41578377,0.44753425,0.46409397,0.49684172,0.50306302,0.40348955,0.40317025,0.47890391,0.4695786
NDAR_INVVCEAYC27,0.42718142,0.49073091,0.55136737,0.55075707,0.54378706,0.57614629,0.51908691,0.27666282,0.29192701,0.39591413,0.41358651,0.47537926,0.44793321,0.4670811,0.44086427,0.22604211,0.24196132,0.42454401,0.4333849,0.47415223,0.43945057,0.38070743,0.37873037,0.41715079,0.45863677,0.46629379,0.49930118,0.36043583,0.38499023,0.4027288,0.38335837
